year,month,tmean
1926,Nov,3.9816484451293945
1926,Dec,-2.0512595176696777
1927,Jan,1.5651947259902954
1927,Feb,1.892797827720642
1927,Mar,-1.2222141027450562
1927,Apr,-3.8387134075164795
1927,May,0.3595641553401947
1927,Jun,1.6235300302505493
1927,Jul,1.5275968313217163
1927,Aug,-0.2840849459171295
1927,Sep,-2.159658193588257
1927,Oct,-1.920626163482666
1927,Nov,-4.241405487060547
1927,Dec,-2.3139443397521973
1928,Jan,5.306073188781738
1928,Feb,6.431342601776123
1928,Mar,-4.187698841094971
1928,Apr,-0.42182743549346924
1928,May,-0.525918185710907
1928,Jun,0.8784214854240417
1928,Jul,-0.08883848041296005
1928,Aug,-0.7702772617340088
1928,Sep,-0.7717493176460266
1928,Oct,-0.8614237308502197
1928,Nov,4.866290092468262
1928,Dec,3.82535719871521
1929,Jan,3.352996826171875
1929,Feb,4.527413368225098
1929,Mar,-2.139814615249634
1929,Apr,1.9974972009658813
1929,May,0.904381275177002
1929,Jun,0.14794106781482697
1929,Jul,-2.051870107650757
1929,Aug,-0.4443156123161316
1929,Sep,2.231933355331421
1929,Oct,3.374512195587158
1929,Nov,2.324274778366089
1929,Dec,2.5375583171844482
1930,Jan,7.65117073059082
1930,Feb,-4.657470703125
1930,Mar,-0.5177695155143738
1930,Apr,-1.8385618925094604
1930,May,2.2494287490844727
1930,Jun,1.571877360343933
1930,Jul,1.441293716430664
1930,Aug,0.10062267631292343
1930,Sep,0.4868082106113434
1930,Oct,0.7306546568870544
1930,Nov,-2.5464723110198975
1930,Dec,4.382751941680908
1931,Jan,2.4609742164611816
1931,Feb,3.4542744159698486
1931,Mar,-1.3794200420379639
1931,Apr,-0.15846553444862366
1931,May,-1.6419800519943237
1931,Jun,-0.05338491126894951
1931,Jul,-1.4120049476623535
1931,Aug,-1.7745046615600586
1931,Sep,-0.3177962899208069
1931,Oct,-0.5471177101135254
1931,Nov,3.165146589279175
1931,Dec,1.159110426902771
1932,Jan,-2.9963433742523193
1932,Feb,-4.2428202629089355
1932,Mar,2.988504648208618
1932,Apr,2.6326324939727783
1932,May,2.134445905685425
1932,Jun,0.2779374420642853
1932,Jul,0.32886821031570435
1932,Aug,-1.1320281028747559
1932,Sep,0.08842495083808899
1932,Oct,0.8378775715827942
1932,Nov,-5.86873197555542
1932,Dec,0.7228909134864807
1933,Jan,-4.908751487731934
1933,Feb,-0.7377194762229919
1933,Mar,0.8323438763618469
1933,Apr,1.8204158544540405
1933,May,-0.5596207976341248
1933,Jun,-1.938308835029602
1933,Jul,-1.4285231828689575
1933,Aug,0.2940545082092285
1933,Sep,-1.281789779663086
1933,Oct,-1.6312881708145142
1933,Nov,-2.3145294189453125
1933,Dec,-4.7501020431518555
1934,Jan,-6.946873664855957
1934,Feb,5.753221035003662
1934,Mar,-0.22790175676345825
1934,Apr,0.7947718501091003
1934,May,-0.6239566802978516
1934,Jun,-0.45807740092277527
1934,Jul,-1.8032292127609253
1934,Aug,-1.5945442914962769
1934,Sep,-1.055691123008728
1934,Oct,3.054234027862549
1934,Nov,-0.4113534986972809
1934,Dec,6.196331024169922
1935,Jan,0.5234025120735168
1935,Feb,6.585193157196045
1935,Mar,-0.9140900373458862
1935,Apr,-1.414952039718628
1935,May,-3.531984329223633
1935,Jun,-1.4507222175598145
1935,Jul,-0.3225633502006531
1935,Aug,-3.2606606483459473
1935,Sep,-1.3896989822387695
1935,Oct,0.22265256941318512
1935,Nov,-4.439816951751709
1935,Dec,-3.7691738605499268
1936,Jan,-0.5680598020553589
1936,Feb,-5.97619104385376
1936,Mar,0.6146700382232666
1936,Apr,0.1954982727766037
1936,May,-0.5928044319152832
1936,Jun,1.185072660446167
1936,Jul,-1.360827922821045
1936,Aug,0.9475492238998413
1936,Sep,-2.2443761825561523
1936,Oct,-1.275694489479065
1936,Nov,-0.9811857342720032
1936,Dec,-4.084505558013916
1937,Jan,8.922052383422852
1937,Feb,-1.3655859231948853
1937,Mar,1.190674066543579
1937,Apr,-1.643950343132019
1937,May,-1.902522325515747
1937,Jun,1.5724862813949585
1937,Jul,-0.7115583419799805
1937,Aug,-2.1385498046875
1937,Sep,1.7058340311050415
1937,Oct,2.847543954849243
1937,Nov,4.155362606048584
1937,Dec,0.23052161931991577
1938,Jan,-2.4675981998443604
1938,Feb,-1.2932240962982178
1938,Mar,1.8995041847229004
1938,Apr,0.4399150609970093
1938,May,1.0077011585235596
1938,Jun,-0.1566932201385498
1938,Jul,1.2609127759933472
1938,Aug,0.07448355853557587
1938,Sep,2.6729896068573
1938,Oct,5.685414791107178
1938,Nov,3.6973893642425537
1938,Dec,3.1648831367492676
1939,Jan,-0.0996973067522049
1939,Feb,-1.3981488943099976
1939,Mar,-1.2913662195205688
1939,Apr,4.4272308349609375
1939,May,0.05877716466784477
1939,Jun,0.9232245683670044
1939,Jul,0.0859963446855545
1939,Aug,-1.2505384683609009
1939,Sep,-1.645226240158081
1939,Oct,-0.8483380079269409
1939,Nov,-3.902813196182251
1939,Dec,6.8534088134765625
1940,Jan,6.290568828582764
1940,Feb,3.814098834991455
1940,Mar,2.313957691192627
1940,Apr,6.713242053985596
1940,May,0.8362780213356018
1940,Jun,-0.9554368853569031
1940,Jul,0.563193678855896
1940,Aug,0.35085979104042053
1940,Sep,1.965183973312378
1940,Oct,2.9020681381225586
1940,Nov,1.9112052917480469
1940,Dec,2.0344669818878174
1941,Jan,-0.6531619429588318
1941,Feb,4.905897617340088
1941,Mar,-0.6939159631729126
1941,Apr,0.5893871784210205
1941,May,0.9957149624824524
1941,Jun,1.0357578992843628
1941,Jul,-1.1729393005371094
1941,Aug,-0.3171583116054535
1941,Sep,-1.159704327583313
1941,Oct,-2.446258306503296
1941,Nov,-1.0851953029632568
1941,Dec,0.24605540931224823
1942,Jan,7.410946846008301
1942,Feb,5.695946216583252
1942,Mar,0.08659365773200989
1942,Apr,1.0050662755966187
1942,May,2.264475107192993
1942,Jun,1.3683398962020874
1942,Jul,0.9560312628746033
1942,Aug,-0.13316607475280762
1942,Sep,0.9333374500274658
1942,Oct,3.1078503131866455
1942,Nov,-2.586158037185669
1942,Dec,-3.680738687515259
1943,Jan,-3.4194507598876953
1943,Feb,5.852653503417969
1943,Mar,0.7210917472839355
1943,Apr,2.6663143634796143
1943,May,3.2046895027160645
1943,Jun,2.330695152282715
1943,Jul,0.332867294549942
1943,Aug,-0.3523351550102234
1943,Sep,0.04147351160645485
1943,Oct,3.031195640563965
1943,Nov,5.204831600189209
1943,Dec,3.7233498096466064
1944,Jan,2.8123369216918945
1944,Feb,5.240146160125732
1944,Mar,1.572727918624878
1944,Apr,2.7872354984283447
1944,May,0.2201170176267624
1944,Jun,1.4315249919891357
1944,Jul,0.09040353447198868
1944,Aug,-1.550188422203064
1944,Sep,-0.8242941498756409
1944,Oct,3.0483837127685547
1944,Nov,-0.2516527771949768
1944,Dec,3.5369699001312256
1945,Jan,3.656442403793335
1945,Feb,3.431872844696045
1945,Mar,-0.256399542093277
1945,Apr,-0.30305057764053345
1945,May,-1.971821665763855
1945,Jun,-0.6380971074104309
1945,Jul,-0.30891910195350647
1945,Aug,-1.2624995708465576
